step	baseline	experiment
1	10.881582260131836	10.880266189575195
2	10.881917953491211	10.879731178283691
3	10.85517406463623	10.860960006713867
4	10.842435836791992	10.850521087646484
5	10.831459045410156	10.834968566894531
6	10.793686866760254	10.80044174194336
7	10.663546562194824	10.669567108154297
8	10.60993766784668	10.612140655517578
9	10.593160629272461	10.584905624389648
10	10.450899124145508	10.445839881896973
11	10.367690086364746	10.36191177368164
12	10.404550552368164	10.400426864624023
13	10.353790283203125	10.330973625183105
14	10.179388046264648	10.16961669921875
15	10.107339859008789	10.0987548828125
16	10.316560745239258	10.310210227966309
17	10.21390151977539	10.202596664428711
18	9.991079330444336	9.986797332763672
19	9.917165756225586	9.91580867767334
20	9.811714172363281	9.816780090332031
21	9.67298698425293	9.671698570251465
22	9.578020095825195	9.573709487915039
23	9.537727355957031	9.525358200073242
24	9.413761138916016	9.382335662841797
25	9.726736068725586	9.715800285339355
26	9.484092712402344	9.483083724975586
27	9.315279960632324	9.310261726379395
28	9.539772987365723	9.541816711425781
29	9.417085647583008	9.410526275634766
30	9.178736686706543	9.194416999816895
31	9.17894458770752	9.165510177612305
32	8.971474647521973	8.914490699768066
33	9.506927490234375	9.50181770324707
34	8.808712005615234	8.800901412963867
35	8.818954467773438	8.816360473632812
36	8.800382614135742	8.77379035949707
37	8.354100227355957	8.324517250061035
38	8.771429061889648	8.743172645568848
39	8.243417739868164	8.22795295715332
40	8.257333755493164	8.250801086425781
41	8.286693572998047	8.282257080078125
42	7.828070640563965	7.821605682373047
43	7.886580944061279	7.8616108894348145
44	8.086248397827148	8.058891296386719
45	8.139232635498047	8.077903747558594
46	8.24540901184082	8.250250816345215
47	8.593990325927734	8.595338821411133
48	7.4706549644470215	7.393082618713379
49	7.697295665740967	7.689943313598633
50	7.853499412536621	7.8505964279174805
51	8.110527038574219	8.109039306640625
52	8.129292488098145	8.133633613586426
53	7.621313095092773	7.625331878662109
54	8.00405502319336	8.00340747833252
55	7.765044212341309	7.769800662994385
56	8.22563362121582	8.21345329284668
57	7.8690185546875	7.8508758544921875
58	8.038583755493164	8.021748542785645
59	8.122735977172852	8.11080265045166
60	7.628361701965332	7.599112510681152
61	7.913618087768555	7.879441738128662
62	7.3790974617004395	7.364901542663574
63	7.704710483551025	7.640937328338623
64	7.5715813636779785	7.509263038635254
65	7.530280113220215	7.4856791496276855
66	7.460073947906494	7.4246978759765625
67	7.604346752166748	7.5648512840271
68	7.819597244262695	7.7978644371032715
69	7.662016868591309	7.632347583770752
70	8.143821716308594	8.088953018188477
71	7.67684268951416	7.6564459800720215
72	7.4655656814575195	7.448118209838867
73	7.913195610046387	7.906679153442383
74	7.629453659057617	7.590559005737305
75	7.485503196716309	7.435392379760742
76	7.393035888671875	7.3868207931518555
77	7.344522476196289	7.308900356292725
78	7.638633728027344	7.605837821960449
79	7.546460151672363	7.5369367599487305
80	8.123998641967773	8.173776626586914
81	8.289342880249023	8.284578323364258
82	8.314424514770508	8.226335525512695
83	7.911411285400391	7.95147705078125
84	7.315211772918701	7.272182941436768
85	7.55021858215332	7.561840057373047
86	8.986733436584473	8.975471496582031
87	7.295156002044678	7.246230125427246
88	7.57070255279541	7.570084095001221
89	7.954944133758545	7.938558578491211
90	7.795328617095947	7.769931316375732
91	7.719137191772461	7.706385135650635
92	7.542485237121582	7.4672136306762695
93	7.803583145141602	7.812609672546387
94	8.001321792602539	7.97587776184082
95	7.675907135009766	7.6624755859375
96	7.910200119018555	7.907236099243164
97	7.764300346374512	7.716312408447266
98	7.798214912414551	7.785233497619629
99	7.502650260925293	7.478099822998047
100	7.701459884643555	7.689821243286133
101	7.440951824188232	7.412141799926758
102	8.293376922607422	8.292384147644043
103	8.201509475708008	8.194809913635254
104	8.224821090698242	8.205129623413086
105	8.104466438293457	8.10755729675293
106	7.8005757331848145	7.843428134918213
107	7.681936264038086	7.664283752441406
108	7.613559722900391	7.626287460327148
109	7.472170829772949	7.4955034255981445
110	7.2952880859375	7.333271026611328
111	7.839450836181641	7.877715110778809
112	7.771380424499512	7.767504692077637
113	7.450883865356445	7.463831901550293
114	7.689370155334473	7.726810455322266
115	7.750566482543945	7.832247734069824
116	7.49537467956543	7.538756370544434
117	7.351314544677734	7.381034851074219
118	7.757901191711426	7.841500282287598
119	7.697328090667725	7.658000946044922
120	7.72753381729126	7.783587455749512
121	7.903559684753418	7.982030391693115
122	7.944058418273926	7.972784042358398
123	7.726650238037109	7.798895359039307
124	7.580613136291504	7.683884143829346
125	7.425809383392334	7.553631782531738
126	8.18832778930664	8.280726432800293
127	7.738497734069824	7.8336076736450195
128	7.849437713623047	7.93393611907959
129	8.27181625366211	8.320584297180176
130	7.650108814239502	7.722775936126709
131	7.764219760894775	7.852506637573242
132	8.070005416870117	8.157515525817871
